key,value
大空间,空间
空间,空间
空间充足,空间
空间大,空间
空间挺大,空间
内部,空间
储物,储物空间
后备厢,后备箱
后备箱,后备箱
后背箱,后备箱
尾箱,后备箱
后排,后排
后座,后排
前排,前排
隆起,后排凸起
凸起,后排凸起
突起,后排凸起
车长,尺寸
尺寸,尺寸
轴距,尺寸
外表,外观
外观,外观
外貌,外观
外面,外观
外形,外观
外型,外观
样子,外观
造型,外观
车头,前脸
前脸,前脸
前面,前脸
流线,腰线
线条,腰线
腰身,腰线
腰线,腰线
车身,腰线
车尾,车尾
屁股,车尾
尾部,车尾
回头率,回头率
套娃,套娃
格栅,格栅
大嘴,格栅
轮毂,轮毂
LED,大灯
大灯,大灯
眼睛,大灯
行车灯,行车灯
日行灯,行车灯
排气管,排气管
尾灯,尾灯
天窗,天窗
车窗,车窗
耗油,油耗
喝油,油耗
省油,油耗
油耗,油耗
油耗低,油耗
参数,配置
配备,配置
配置,配置
配置丰富,配置
导航,导航
倒车影像,倒车影像
电动调节,电动调节
电子换档杆,电子换档杆
互联驾车,互联驾车
人车对话,互联驾车
人机交互,互联驾车
悬挂,悬挂
悬架,悬挂
怀档,怀档
座椅加热,座椅加热
后视镜加热,后视镜加热
空调,空调
出风口,出风口
辅助,坡道辅助
巡航,巡航
电子手刹,电子手刹
胎压,胎压监测
雷达,倒车雷达
雾灯,雾灯
一键启动,一键启动
无钥匙进入,无钥匙进入
无钥匙启动,无钥匙启动
音箱,音响
音响,音响
自动记忆,自动记忆
自动启停,自动启停
内饰,内饰
塑料感,内饰
选材,内饰
用料,内饰
仿皮,内饰
真皮,内饰
做工,做工
做工好,做工
中央扶手,中央扶手
扶手箱,中央扶手
屏,屏
水温表,水温表
阅读灯,阅读灯
仪表,仪表盘
仪表盘,仪表盘
中控,中控
安全,安全
防撞柱,防撞柱
气囊,气囊
皮薄,钢板厚度
厚度,钢板厚度
皮厚,钢板厚度
钢板,钢板厚度
铁皮,钢板厚度
ESP,ESP
操控,操控
驾驭,操控
驾驶,操控
开起来,操控
跑起来,操控
刹车,刹车
顿挫感,顿挫感
手感,手感
方向,方向
电子助力,电子助力
离合器,离合器
变速箱,变速箱
转向,转向
转弯,转向
路感,路感
底盘,通过性
地盘,通过性
通过性,通过性
换挡,换挡
换档,换挡
动力,动力
混动,混合动力
混合动力,混合动力
燃油,燃油
发动机,发动机
涡轮增压,涡轮增压
自然吸气,自然吸气
马力,马力
油门,油门
爬坡,爬坡
加速,加速
提速,加速
起步,起步
肉,肉
速度,速度
后驱,后驱
两驱,两驱
前驱,前驱
四驱,四驱
推背感,推背感
质量,质量
品控,品控
工艺,工艺
可靠,耐用皮实
毛病,耐用皮实
小毛病,耐用皮实
耐用,耐用皮实
皮实,耐用皮实
扎实,耐用皮实
高品质,品质
品质,品质
品质高,品质
烧机油,烧机油
偷工减料,偷工减料
味道,味道
异响,异响
舒适,舒适
乘坐,乘坐感受
坐得,乘坐感受
坐进去,乘坐感受
坐起来,乘坐感受
坐上去,乘坐感受
坐在车里,乘坐感受
坐着,乘坐感受
避震,避震
减震,避震
座椅,座椅
视野,视野
噪音,噪音
胎燥,胎噪
胎噪,胎噪
风躁,风燥
风燥,风燥
隔音,静音
静音,静音
车稳,平稳
平稳,平稳
环保,环保
节能,环保
技术含量,先进技术
科技,先进技术
先进,先进技术
价格,价格优惠
价钱,价格优惠
价位,价格优惠
票子,价格优惠
售价,价格优惠
强加,价格优惠
便宜,价格优惠
经济,价格优惠
实惠,价格优惠
性价比,价格优惠
预算,价格优惠
送,价格优惠
促销,价格优惠
放价,价格优惠
搞活动,价格优惠
团购,价格优惠
优惠,价格优惠
直降,价格优惠
低价,价格优惠
保值,二手车残值
售后,售后经济性
维修,售后经济性
保养,售后经济性
养护,售后经济性
配件,售后经济性
4S店,销售服务体验
贷款,销售服务体验
服务,销售服务体验
招待,销售服务体验
试驾,销售服务体验
工作人员,销售服务体验
销售,销售服务体验
